Neighbourhood;Comuna; Media (USD_M2) ; Suma Comuna ;Media comuna;Weighting
Constitución;1; 2.403,43 ; 18.648,80 ;3108,13;0,77
Montserrat;1; 2.602,12 ; 18.648,80 ;;0,84
Puerto Madero;1; 5.716,09 ; 18.648,80 ;;1,84
Retiro;1; 3.161,24 ; 18.648,80 ;;1,02
San Nicolás;1; 2.327,49 ; 18.648,80 ;;0,75
San Telmo;1; 2.438,44 ; 18.648,80 ;;0,78
Recoleta;2; 3.139,77 ; 3.139,77 ;3139,77;1,00
Balvanera;3; 2.026,01 ; 4.257,82 ;2128,91;0,95
San Cristóbal;3; 2.231,82 ; 4.257,82 ;;1,05
Barracas;4; 2.401,82 ; 8.445,26 ;2111,31;1,14
La Boca;4; 2.039,88 ; 8.445,26 ;;0,97
Nueva Pompeya;4; 1.622,50 ; 8.445,26 ;;0,77
Parque Patricios;4; 2.381,06 ; 8.445,26 ;;1,13
Almagro;5; 2.451,82 ; 4.872,53 ;2436,27;1,01
Boedo;5; 2.420,71 ; 4.872,53 ;;0,99
Caballito;6; 2.700,54 ; 2.700,54 ;2700,54;1,00
Flores;7; 2.160,96 ; 4.880,98 ;2440,49;0,89
Parque Chacabuco;7; 2.720,02 ; 4.880,98 ;;1,11
Villa Lugano;8; 1.178,00 ; 2.985,00 ;995,00;1,18
Villa Riachuelo;8; 995,00 ; 2.985,00 ;;1,00
Villa Soldati;8; 812,00 ; 2.985,00 ;;0,82
Liniers;9; 2.415,61 ; 6.757,69 ;2252,56;1,07
Mataderos;9; 2.475,27 ; 6.757,69 ;;1,10
Parque Avellaneda;9; 1.866,80 ; 6.757,69 ;;0,83
Floresta;10; 1.880,33 ; 12.382,09 ;2063,68;0,91
Monte Castro;10; 2.188,86 ; 12.382,09 ;;1,06
Vélez Sarsfield;10; 1.841,60 ; 12.382,09 ;;0,89
Versalles;10; 2.024,50 ; 12.382,09 ;;0,98
Villa Luro;10; 2.477,47 ; 12.382,09 ;;1,20
Villa Real;10; 1.969,33 ; 12.382,09 ;;0,95
Villa del Parque;11; 2.457,85 ; 9.117,80 ;2279,45;1,08
Villa Devoto;11; 2.423,65 ; 9.117,80 ;;1,06
Villa General Mitre;11; 2.180,95 ; 9.117,80 ;;0,96
Villa Santa Rita;11; 2.055,35 ; 9.117,80 ;;0,90
Coghlan;12; 2.859,61 ; 10.827,43 ;2706,86;1,06
Saavedra;12; 2.761,98 ; 10.827,43 ;;1,02
Villa Pueyrredón;12; 2.391,47 ; 10.827,43 ;;0,88
Villa Urquiza;12; 2.814,39 ; 10.827,43 ;;1,04
Belgrano;13; 3.479,44 ; 9.319,93 ;3106,64;1,12
Colegiales;13; 2.918,65 ; 9.319,93 ;;0,94
Núñez;13; 2.921,84 ; 9.319,93 ;;0,94
Palermo;14; 3.506,39 ; 3.506,39 ;3506,39;1,00
Agronomía;15; 2.346,50 ; 13.784,95 ;2297,49;1,02
Chacarita;15; 2.573,33 ; 13.784,95 ;;1,12
Parque Chas;15; 1.621,38 ; 13.784,95 ;;0,71
La Paternal;15; 1.920,00 ; 13.784,95 ;;0,84
Villa Crespo;15; 2.662,54 ; 13.784,95 ;;1,16
Villa Ortúzar;15; 2.661,21 ; 13.784,95 ;;1,16
