long;lat;id;nombre;categoria;cocina;ambientacion;telefono;mail;horario;calle_nombre;calle_altura;calle_cruce;direccion_completa;barrio;comuna;codigo_postal;codigo_postal_argentino
-58,36330675;-34,62296347;1602;GUANTANAMERA;RESTAURANTE;CUBANA;MODERNO;4314 0770;;;MOREAU DE JUSTO ALICIA;2092;;MOREAU DE JUSTO, ALICIA AV. 2092;Puerto Madero;Comuna 1;1107;C1107AFP
-58,39232963;-34,62155353;676;1843 VINACOTECA;VINERIA;;;4779 0806;;lunes a domingo de 8 a 00;HUMBERTO 1º;1843;;HUMBERTO 1º 1843;San Cristobal;Comuna 3;;
-58,45354227;-34,56031135;487;2080 EXPRESS;RESTAURANTE;TRADICIONAL;CLASICO PORTEÑO;4788 4500;;lunes a domingo de 8 a 00;JURAMENTO;2080;;JURAMENTO AV. 2080;Belgrano;Comuna 13;1428;C1428DNH
-58,47549105;-34,6770507;2737;22;CAFE;MINUTAS;MODERNO;;;;MURGUIONDO;4188;;MURGUIONDO 4188;Villa Lugano;Comuna 8;1439;C1439FTB
-58,4254372;-34,58569501;2;4 EN 2 I;RESTAURANTE;;;4832 9510;;;BORGES JORGE LUIS;2095;;BORGES, JORGE LUIS 2095;Palermo;Comuna 14;1425;C1425FFA
-58,42226235;-34,5718432;3;4 X 4 CAFE;BAR;MINUTAS;;4776 6000;info@4x4cafe.com;;DEL LIBERTADOR;3838;;DEL LIBERTADOR AV. 3838;Palermo;Comuna 14;1425;C1425ABY
-58,37830939;-34,60479665;2091;5TA AVENIDA;RESTAURANTE;MINUTAS;MODERNO;4394 5611;;lunes a viernes de 7.30 a 19;SARMIENTO;814;;SARMIENTO 814;San Nicolas;Comuna 1;1041;C1041AAR
-58,37196216;-34,6042924;2093;5TA AVENIDA I;RESTAURANTE;MINUTAS;MODERNO;4325 2960;;lunes a viernes de 6 a 20;SARMIENTO;381;;SARMIENTO 381;San Nicolas;Comuna 1;1041;C1041AAG
-58,44710401;-34,59755471;2655;5TA ZONA;;PARRILLA;CLASICO PORTEÑO;4855 4001;;;MURILLO;1049;;MURILLO 1049;Villa Crespo;Comuna 15;1414;C1414AFK
-58,37407685;-34,60037768;2092;650;RESTAURANTE;FUSION;MODERNO;4313 9650;seisso@seisso.com.ar;;SAN MARTIN;650;;SAN MARTIN 650;San Nicolas;Comuna 1;1004;C1004AAN
-58,39429579;-34,59470348;1636;788 FOODBAR;RESTAURANTE;MEDITERRANEA;MODERNO;4814 4788;www.788foodbar.com.ar;;ARENALES;1877;;ARENALES 1877;Recoleta;Comuna 2;1124;C1124AAA
-58,43943176;-34,58330514;5;7 SEVEN;RESTAURANTE;PORTEÃ‘A;RUSTICA;4770 9698;;;GORRITI;5802;;GORRITI 5802;Palermo;Comuna 14;1414;C1414BKJ
